,title,series,on_sale_date,creators,creators_editor,creators_writer,description,characters,format,n_of_pages,price
0,Marvel Mutts Infinity Comic (2023) #5,Marvel Mutts Infinity Comic (2023 - Present),2023-12-29,"Raul Angulo, Mackenzie Cadenhead, Takeshi Miyazawa, Mark Paniccia, Vc Joe Sabino",Mark Paniccia,['Mackenzie Cadenhead'],,"Lockjaw, Ms. America (America Chavez), Ms. Marvel (Kamala Khan), Spider-Man (Miles Morales)",Digital Vertical Comic,3,0.0
1,Alligator Loki Infinity Comic (2022) #29,Alligator Loki Infinity Comic (2022 - 2023),2023-12-29,"Michelle Marchese, Pete Pantazis, Robert Quinn, Alyssa Wong",Michelle Marchese,['Alyssa Wong'],,"Doctor Strange, Loki",Digital Vertical Comic,3,0.0
2,Avengers United Infinity Comic (2023) #12,Avengers United Infinity Comic (2023 - Present),2023-12-28,"Erick Arciniega, Tom Brevoort, Derek Landy, Jason Muhr, Vc Joe Sabino",Tom Brevoort,['Derek Landy'],,"Avengers, Black Panther, Captain Marvel (Carol Danvers), Iron Man, Scarlet Witch, Thor, Vision",Digital Vertical Comic,6,0.0
3,Star Wars: The Mandalorian Season 2 (2023) #7 (Variant),Star Wars: The Mandalorian Season 2 (2023 - 2024),2023-12-27,"Rodney Barnes, Vc Joe Caramagna, Georges Jeanty, Kael Ngu, Mark Paniccia, Rachelle Rosenberg, Karl Story, Dexter Vines",Mark Paniccia,['Rodney Barnes'],"THE BELIEVER!  To move against THE EMPIRE, THE MANDALORIAN needs the help of an old enemy.  The stage is set with BOBA FETT and FENNEC SHAND as MIGS MAYFELD returns!",,Comic,40,4.99
4,Marvel Super Heroes Secret Wars: Battleworld (2023) #2 (Variant),Marvel Super Heroes Secret Wars: Battleworld (2023 - Present),2023-12-27,"Mark Basso, Vc Joe Caramagna, John Tyler Christopher, Tom Defalco, Pat Olliffe",Mark Basso,['Tom Defalco'],"BRING ON THE BAD GUYS! SPIDER-MAN, freshly attired in his new ALIEN COSTUME, is pulled from the SECRET WARS to face a NEW challenge - the might of the HOBGOBLIN, BARON ZEMO, ELECTRO, CONSTRICTOR and more! Not a hoax! Not an imaginary story! But how did THIS set of villains find their way into the BATTLEWORLD of SECRET WARS?! Only this issue holds the answer to this forty-year mystery! Do not miss Tom DeFalco and Pat Olliffe's ALL-NEW in-continuity tale featuring SPIDER-MAN, HUMAN TORCH and a slew of surprises!",,Comic,32,3.99
5,Captain Marvel (2023) #3 (Variant),Captain Marvel (2023 - Present),2023-12-27,"Jan Bazaldua, Ruairi Coleman, Vc Ariana Maher, PEACH MOMOKO, Emily Newcomen, Bryan Valenza, Alyssa Wong",Emily Newcomen,['Alyssa Wong'],"STEALING FROM THE STRANGES! Captain Marvel's taken up a new profession: thievery! Not that she had much choice in the matter, with Yuna Yang shuttling her to the Negative Zone every time Carol's do-gooder attitude gets in the way. The Captain's gotta get these Nega-Bands off so she can reclaim her life, and who better to ask advice from than the Sorcerer Supreme, Clea Strange? But when Yuna's hands get sticky again, Carol finds herself in the sorcerer's crosshairs…",,Comic,32,3.99
6,Predator Vs. Wolverine (2023) #4 (Variant),Predator Vs. Wolverine (2023 - Present),2023-12-27,"Sarah Brunstad, Juan Fernandez, Ken Lashley, Benjamin Percy, Vc Cory Petit, Bill Sienkiewicz",Sarah Brunstad,['Benjamin Percy'],THE BEST THERE IS AT WHAT THEY DO! Who will take the final trophy? Will Wolverine's adamantium skull join the bones of countless others? The Predator's long hunt catches up to the present day as Wolverine sets his trap. But what hope does he have against an enemy who's slaughtered prey across the universe?,,Comic,32,5.99
7,MARVEL MASTERWORKS: MARVEL TEAM-UP VOL. 7 HC (Hardcover),MARVEL MASTERWORKS: MARVEL TEAM-UP VOL. 7 HC (2022),2023-12-27,"John Byrne, Howard Chaykin, Kerry Gammill, Bob Hall, Chris Claremont, Barry Dutter, Gary Friedrich, Scott Lobdell, Ralph Macchio, John Costanza, Michael Higgins, Tony Dezuniga, Vincent Evans, Al Gordon, Dan Green, Dave Hunt, Carl Gafford, Ariane Lenshoek, Logan Kelleher, Michael Kelleher",Not given,"['Chris Claremont', 'Barry Dutter', 'Gary Friedrich', 'Scott Lobdell', 'Ralph Macchio']","Collects Marvel Team-Up (1972) #65-77; material from Marvel Tales (1966) #255, 262-263; Marvel Treasury Edition (1974) #18.  It's prime time in the Marvel Universe with Chris Claremont, John Byrne and the amazing Spider-Man! That's right, before they created the definitive X-Men, Claremont and Byrne were spinning tales with the web-slinger. And the historic Spidey exploits they have in store include Captain Britain's introduction to the Marvel U. proper, the first appearance of Arcade, adventures alongside the scintillating Tigra and the malodorous Man-Thing, a two-part tale that revives the Living Monolith and co-stars X-Men Havok and Polaris, and an encounter with Luke Cage and New York's Bravest! Also featured are a mystic turn with Doctor Strange and Clea that features the return of the Silver Dagger; adventures with Cap, Iron Man and Daredevil - and a bevy of bonus material including cover art from MARVEL TALES!",,Hardcover,304,75.0
8,Star Wars: Dark Droids (2023) #5 (Variant),Star Wars: Dark Droids (2023 - Present),2023-12-27,"Juan Fernandez, Vc Travis Lanham, Ken Lashley, Mark Paniccia, Luke Ross, Alex Sinclair, Charles Soule",Mark Paniccia,['Charles Soule'],THE TERRIFYING CONCLUSION OF THE BIGGEST STAR WARS COMIC EVENT OF THE YEAR! The final triumph of THE SCOURGE! How can THE REBELLION & THE EMPIRE combat such a threat? UNLIKELY ALLIES join forces to fight the greater evil invading the galaxy! And what is the final fate of warrior droid Ajax Sigma?,,Comic,32,4.99
9,Star Wars: The Mandalorian Season 2 (2023) #7 (Variant),Star Wars: The Mandalorian Season 2 (2023 - 2024),2023-12-27,"Rodney Barnes, Vc Joe Caramagna, Stephanie Hans, Georges Jeanty, Mark Paniccia, Rachelle Rosenberg, Karl Story, Dexter Vines",Mark Paniccia,['Rodney Barnes'],"THE BELIEVER!  To move against THE EMPIRE, THE MANDALORIAN needs the help of an old enemy.  The stage is set with BOBA FETT and FENNEC SHAND as MIGS MAYFELD returns!",,Comic,40,4.99
10,STORM: BLOWBACK TPB (Trade Paperback),STORM: BLOWBACK TPB (2023),2023-12-27,Jeff Youngquist,Jeff Youngquist,[],"Collects Storm (2023) #1-5.  Ororo Munroe is just getting started! She's been a thief, a goddess and a leader of the X-Men - and with her mutant ability to control the weather bolstered by her top-notch fighting skills, Storm is a formidable opponent like no other. But in this all-new adventure set during the fan-favorite time when she was rocking leather and a mohawk, Ororo will be tested to the limit - and beyond! As Storm tries to balance her responsibilities to the X-Men, her difficult relationship with Kitty Pryde and even a new love interest, her powers begin to create deadly weather that threatens to tear it all asunder! Lurking in the eye of the storm is the dangerous villain named Blowback - and when their mind-blowing secret is revealed, it will push Storm and the X-Men to the breaking point!",,Trade Paperback,120,17.99
11,Predator Vs. Wolverine (2023) #4 (Variant),Predator Vs. Wolverine (2023 - Present),2023-12-27,"Sarah Brunstad, Joshua Cassara, Juan Fernandez, Ken Lashley, Benjamin Percy, Vc Cory Petit, Dean White",Sarah Brunstad,['Benjamin Percy'],THE BEST THERE IS AT WHAT THEY DO! Who will take the final trophy? Will Wolverine's adamantium skull join the bones of countless others? The Predator's long hunt catches up to the present day as Wolverine sets his trap. But what hope does he have against an enemy who's slaughtered prey across the universe?,,Comic,32,5.99
12,Black Panther (2023) #7 (Variant),Black Panther (2023 - Present),2023-12-27,"Eve Ewing, PEACH MOMOKO, Emily Newcomen, Vc Joe Sabino",Emily Newcomen,['Eve Ewing'],"A FACTION WAR BREWING IN BIRNIN T'CHAKA?  Black Panther learns the devastation of Kivu'Ma - and must deal with the aftermath. But it leaves him, and all of Birnin T'Chaka, shaken. Beisa enlists Black Panther's help in her ongoing investigation against Wakanda's crime families…which leads to an unexpected and beloved Marvel character appearance, who may know a thing or two about living in exile! Plus, Biti as you've never seen her before!",,Comic,32,3.99
13,Miles Morales: Spider-Man (2022) #14 (Variant),Miles Morales: Spider-Man (2022 - 2023),2023-12-27,"Thomas Groneman, In-Hyuk Lee, Vc Cory Petit, Bryan Valenza, Federico Vicentini, Cody Ziglar",Thomas Groneman,['Cody Ziglar'],"THE PROWLER ENTERS THE BATTLEFIELD! HOBGOBLIN launches his first strike in the Gang War, and he's offering no quarter for SPIDER-MAN! And the PROWLER joins the fight - but is he friend or foe?!",,Comic,32,3.99
14,Marvel Super Heroes Secret Wars: Battleworld (2023) #2 (Variant),Marvel Super Heroes Secret Wars: Battleworld (2023 - Present),2023-12-27,"Vc Joe Caramagna, Tom Defalco, Sean “Cheeks” Galloway, Emily Newcomen, Pat Olliffe",Emily Newcomen,['Tom Defalco'],"BRING ON THE BAD GUYS! SPIDER-MAN, freshly attired in his new ALIEN COSTUME, is pulled from the SECRET WARS to face a NEW challenge - the might of the HOBGOBLIN, BARON ZEMO, ELECTRO, CONSTRICTOR and more! Not a hoax! Not an imaginary story! But how did THIS set of villains find their way into the BATTLEWORLD of SECRET WARS?! Only this issue holds the answer to this forty-year mystery! Do not miss Tom DeFalco and Pat Olliffe's ALL-NEW in-continuity tale featuring SPIDER-MAN, HUMAN TORCH and a slew of surprises!",,Comic,32,3.99
15,Carnage (2023) #2,Carnage (2023 - Present),2023-12-27,"Erick Arciniega, Torunn Gronbekk, Pere Perez, Elizabeth Pyle, Rachelle Rosenberg, Vc Joe Sabino, Paulo Siqueira",Elizabeth Pyle,['Torunn Gronbekk'],"FLASH IN THE DARKNESS! CLETUS KASADY has been reborn! But to truly ascend to absolute power, he needs two things: loyal followers and a worthy nemesis. Meanwhile, FLASH THOMPSON becomes convinced that a series of increasingly horrifying murders are all connected. But who is CARNAGE'S true target?","Carnage, Venom (Flash Thompson)",Comic,32,4.99
16,TIMELESS (2023) #1,TIMELESS (2023 - Present),2023-12-27,"Tom Brevoort, Juann Cabal, Edgar Delgado, Collin Kelly, Jackson Lanzing, Vc Travis Lanham, Kael Ngu",Tom Brevoort,"['Collin Kelly', 'Jackson Lanzing']","BEHOLD THE FUTURE OF THE MARVEL UNIVERSE - FEATURING THE DEBUT OF TWO NEW MARVEL ICONS! In a devastating future born from the choices of today, all of time and space is threatened by the ascension of an ancient evil. The MOON KNIGHT UNENDING has risen - a nightmare born of StarkTech, the Eternal Machine and the God of the Moon - and now all of Earth bows before his overwhelming power! But one man stands against Khonshu's coming tide of chaos: POWER MAN, the Marvel Universe's final living super hero. But who is Power Man - and how did he come to wield the unstable powers of the Sentry, the Hulk and the Iron Fist? What dark, deeply personal conflict underpins this mind-bending apocalypse? And at the end of the line, can the Marvel Universe ever truly be saved? PLUS - a SHOCKING glimpse into the next year of Marvel stories!","Danny Rand, Luke Cage",Comic,56,6.99
17,Star Wars: The Mandalorian Season 2 (2023) #7,Star Wars: The Mandalorian Season 2 (2023 - 2024),2023-12-27,"Rodney Barnes, Vc Joe Caramagna, Georges Jeanty, Miguel Mercado, Mark Paniccia, Rachelle Rosenberg, Karl Story, Dexter Vines",Mark Paniccia,['Rodney Barnes'],"THE BELIEVER! To move against THE EMPIRE, THE MANDALORIAN needs the help of an old enemy. The stage is set with BOBA FETT and FENNEC SHAND as MIGS MAYFELD returns!",,Comic,40,4.99
18,X-MEN EPIC COLLECTION: THE BROOD SAGA TPB (Trade Paperback),X-MEN EPIC COLLECTION: THE BROOD SAGA TPB (2023),2023-12-27,"Brent Anderson, Dave Cockrum, Bill Sienkiewicz, Paul Smith, Hilary Barta, Joe Rubinstein, Bob Wiacek, Janice Chiang, Tom Orzechowski, Joe Rosen, Chris Claremont, Glynis Oliver, Jimmy Porter, Bob Sharen, Don Warfield, Andy Yanchus, Jeff Youngquist",Jeff Youngquist,['Chris Claremont'],"Collects Uncanny X-Men (1981) #154-167, X-Men Annual (1970) #6, Special Edition X-Men (1983) #1.  The complete Brood Saga! An X-Men extravaganza up there with the very best, blending space opera - featuring the X-Men, the Starjammers and the Shi'ar - with disgusting parasites from the outer limits of the universe in the form of the deadly and sadistic alien Brood! Featuring art by X-icons Dave Cockrum and Paul Smith, it's an action-packed adventure with a visual majesty that will leave you awed. Then, the X-Men encounter the darker side of the Marvel Universe in stories that pit them against Dracula and take them to Belasco's mysterious realm of Limbo! Chris Claremont crafts each story - and tops it all off with a character-defining tale that shows us Professor X and Magneto as allies before their philosophical fallout that would reshape mutantkind's future!",,Trade Paperback,424,44.99
19,Deadly Hands of Kung Fu: Gang War (2023) #1,Deadly Hands of Kung Fu: Gang War (2023 - Present),2023-12-27,"David Aja, Jim Campbell, Vc Travis Lanham, Caio Majado, Greg Pak, Darren Shan",Darren Shan,['Greg Pak'],"WHOSE SIDE ARE YOU ON? GANG WAR has thrown the crime lords and super heroes of New York into a deadly conflic,t and as both, Shang-Chi must play each side against each other in a dangerous game of deception! When he became leader of his family's Five Weapons Society, he promised to use it for good, but friends and foes alike have been unsure of his true intentions. The stakes of Gang War will force his hand as he vows to protect Chinatown and use the opportunity to eliminate the Five Weapon Society's biggest rivals! He'll use his world-class fighting skills as well as deceit, calculation and manipulation to navigate the battlefields as he learns the Art of War is all about the shades of gray!","Shang-Chi, Spider-Man (Peter Parker)",Comic,32,4.99
20,Sensational She-Hulk (2023) #3 (Variant),Sensational She-Hulk (2023 - 2024),2023-12-27,"Vc Joe Caramagna, DEE CUNNIFFE, Ariel Diaz, Andres Genolet, Nick Lowe, Rainbow Rowell",Nick Lowe,['Rainbow Rowell'],SHE-HULK & HULK face off against one of She-Hulk's most dangerous villains! But is Hulk's scary new incarnation the best teammate to have?,,Comic,32,3.99
21,Carnage (2023) #2 (Variant),Carnage (2023 - Present),2023-12-27,"Erick Arciniega, Simone Bianchi, Torunn Gronbekk, Emily Newcomen, Pere Perez, Vc Joe Sabino",Emily Newcomen,['Torunn Gronbekk'],"FLASH IN THE DARKNESS! CLETUS KASADY has been reborn! But to truly ascend to absolute power, he needs two things: loyal followers and a worthy nemesis. Meanwhile, FLASH THOMPSON becomes convinced that a series of increasingly horrifying murders are all connected. But who is CARNAGE'S true target?",,Comic,32,4.99
22,Miles Morales: Spider-Man (2022) #14,Miles Morales: Spider-Man (2022 - 2023),2023-12-27,"Thomas Groneman, Vc Cory Petit, Alejandro Sanchez, Bryan Valenza, Federico Vicentini, Cody Ziglar",Thomas Groneman,['Cody Ziglar'],"THE PROWLER ENTERS THE BATTLEFIELD! HOBGOBLIN launches his first strike in the Gang War, and he's offering no quarter for SPIDER-MAN! And the PROWLER joins the fight - but is he friend or foe?!","Prowler, Spider-Man (Miles Morales)",Comic,32,3.99
23,Wolverine By Claremont & Miller 1 Facsimile Edition [New Printing] (2023) #1,Wolverine By Claremont & Miller 1 Facsimile Edition [New Printing] (2023 - Present),2023-12-27,Jeff Youngquist,Jeff Youngquist,[],"He's Wolverine. He's the best there is at what he does. And what he does best isn't very nice. Revisit the classic, character-defining story that burned that phrase on the collective consciousness of comic book readers! A pair of industry legends - Chris Claremont and Frank Miller - show how the breakout star of the X-Men could also be a solo series icon! Claremont and Miller take Logan away from his teammates - all the way to Japan, where Mariko, the woman he loves, has married another out of duty! As Wolverine hunts for answers, he is drawn into brutal combat with Mariko's father - and enters a shadowy world of samurai and ninja which he never truly leaves! It's one of the all-time great Marvel comic books, boldly re-presented in its original form, ads and all! Reprinting WOLVERINE (1982) #1.",,Comic,32,4.99
24,Ghost Rider (2022) #21 (Variant),Ghost Rider (2022 - Present),2023-12-27,"Jan Bazaldua, Vc Travis Lanham, Emily Newcomen, Carlos Nieto, Benjamin Percy, Bryan Valenza, Matthew Wilson",Emily Newcomen,['Benjamin Percy'],"END OF THE ROAD! The Cult of Mephisto is possessing the next generation of humanity! But even if the Spirit of Vengeance stops the Cult, what does that mean for the future of Ghost Rider? Could this be the end of an era?",,Comic,32,4.99
25,Sensational She-Hulk (2023) #3,Sensational She-Hulk (2023 - 2024),2023-12-27,"Jen Bartel, Vc Joe Caramagna, Andres Genolet, Nick Lowe, Rainbow Rowell",Nick Lowe,['Rainbow Rowell'],SHE-HULK & HULK face off against one of She-Hulk's most dangerous villains! But is Hulk's scary new incarnation the best teammate to have?,"Hulk, She-Hulk (Jennifer Walters)",Comic,32,3.99
26,Marvel Super Heroes Secret Wars: Battleworld (2023) #2 (Variant),Marvel Super Heroes Secret Wars: Battleworld (2023 - Present),2023-12-27,"Mark Basso, Vc Joe Caramagna, Tom Defalco, MAT LOPES, Pat Olliffe, Leonardo Romero",Mark Basso,['Tom Defalco'],"BRING ON THE BAD GUYS! SPIDER-MAN, freshly attired in his new ALIEN COSTUME, is pulled from the SECRET WARS to face a NEW challenge - the might of the HOBGOBLIN, BARON ZEMO, ELECTRO, CONSTRICTOR and more! Not a hoax! Not an imaginary story! But how did THIS set of villains find their way into the BATTLEWORLD of SECRET WARS?! Only this issue holds the answer to this forty-year mystery! Do not miss Tom DeFalco and Pat Olliffe's ALL-NEW in-continuity tale featuring SPIDER-MAN, HUMAN TORCH and a slew of surprises!",,Comic,32,3.99
27,Amazing Spider-Man Epic Collection: Spider-Man Or Spider-Clone? (Trade Paperback),Amazing Spider-Man Epic Collection: Spider-Man Or Spider-Clone? (2023),2023-12-27,"Ross Andru, Sal Buscema, Gil Kane, Janice Cohen, Petra Goldberg, Stan Goldberg, Glynis Oliver, George Roussos, Don Warfield, Gerry Conway, Archie Goodwin, Bill Mantlo, John Costanza, Joe Rosen, Gaspar Saladino, Art Simek, Mike Esposito, Frank Giacoia, Dave Hunt, John Romita Sr.",Not given,"['Gerry Conway', 'Archie Goodwin', 'Bill Mantlo']","Collects Amazing Spider-Man (1963) #143-164, Amazing Spider-Man Annual (1964) #10, material from Marvel Special Edition Treasury (1975) #1. Peter Parker's life has never been easy, but it's hard for things to get worse after your dead girlfriend shows up on your doorstep. Uh-oh, we've challenged that infamous Parker luck - which means things will definitely get worse! Spidey…you've been cloned! In the storyline that shocked the comics world, the scheming Jackal has cloned both Gwen Stacy and Spider-Man, and now Spidey must face one of his greatest personal tragedies! Then, Doc Ock returns - and he's brought the ghost of Hammerhead with him! And they're not the only ones back from the grave. The Kingpin is out to resurrect his son - and he can, if Spider-Man dies! This Epic Collection isn't all reanimation-a-go-go, though. Peter and Mary Jane's relationship blossoms in these pages - and they even share their first kiss!",Spider-Man (Peter Parker),Trade Paperback,464,44.99
28,Star Wars: Dark Droids (2023) #5 (Variant),Star Wars: Dark Droids (2023 - Present),2023-12-27,"John Tyler Christopher, Vc Travis Lanham, Mark Paniccia, Luke Ross, Alex Sinclair, Charles Soule",Mark Paniccia,['Charles Soule'],THE TERRIFYING CONCLUSION OF THE BIGGEST STAR WARS COMIC EVENT OF THE YEAR! The final triumph of THE SCOURGE! How can THE REBELLION & THE EMPIRE combat such a threat? UNLIKELY ALLIES join forces to fight the greater evil invading the galaxy! And what is the final fate of warrior droid Ajax Sigma?,,Comic,32,4.99
29,X-Force (2019) #47 (Variant),X-Force (2019 - Present),2023-12-27,"Mark Basso, Vc Joe Caramagna, Guru Efx, Benjamin Percy, Daniel Picciotto",Mark Basso,['Benjamin Percy'],"X-FORCE: RELOADED! A SPECIAL ISSUE! X-FORCE REBORN! In the aftermath of COLOSSUS' and BEAST's revelations, X-Force must regroup. And before they tackle their next mission - they must marshal their forces at a new base at the ends of the world! But if the harsh arctic environment won't do them in…perhaps ORCHIS will! Plus: Be here for QUENTIN QUIRE's surprise discovery from the HELLFIRE GALA!",,Comic,32,3.99
