,title,series,on_sale_date,creators,creators_editor,creators_writer,description,characters,format,n_of_pages,price
61,Captain Marvel (2023) #3,Captain Marvel (2023 - Present),2023-12-27,"Jan Bazaldua, Ruairi Coleman, Sarah Brunstad, Romulo Fajardo Jr., Vc Ariana Maher, Stephen Segovia, Bryan Valenza, Alyssa Wong",Sarah Brunstad,['Alyssa Wong'],"STEALING FROM THE STRANGES! Captain Marvel's taken up a new profession: thievery! Not that she had much choice in the matter, with Yuna Yang shuttling her to the Negative Zone every time Carol's do-gooder attitude gets in the way. The Captain's gotta get these Nega-Bands off so she can reclaim her life, and who better to ask advice from than the Sorcerer Supreme, Clea Strange? But when Yuna's hands get sticky again, Carol finds herself in the sorcerer's crosshairs…","Captain Marvel (Carol Danvers), Clea, Doctor Strange",Comic,32,3.99
62,Star Wars: Dark Droids (2023) #5 (Variant),Star Wars: Dark Droids (2023 - Present),2023-12-27,"Vc Travis Lanham, Mark Paniccia, Luke Ross, Alex Sinclair, Charles Soule",Mark Paniccia,['Charles Soule'],THE TERRIFYING CONCLUSION OF THE BIGGEST STAR WARS COMIC EVENT OF THE YEAR! The final triumph of THE SCOURGE! How can THE REBELLION & THE EMPIRE combat such a threat? UNLIKELY ALLIES join forces to fight the greater evil invading the galaxy! And what is the final fate of warrior droid Ajax Sigma?,,Comic,32,4.99
63,Captain Marvel (2023) #3 (Variant),Captain Marvel (2023 - Present),2023-12-27,"Vc Ariana Maher, Emily Newcomen, Marguerite Sauvage, Alyssa Wong",Emily Newcomen,['Alyssa Wong'],"STEALING FROM THE STRANGES! Captain Marvel's taken up a new profession: thievery! Not that she had much choice in the matter, with Yuna Yang shuttling her to the Negative Zone every time Carol's do-gooder attitude gets in the way. The Captain's gotta get these Nega-Bands off so she can reclaim her life, and who better to ask advice from than the Sorcerer Supreme, Clea Strange? But when Yuna's hands get sticky again, Carol finds herself in the sorcerer's crosshairs…",,Comic,32,3.99
64,Avengers Inc. (2023) #4 (Variant),Avengers Inc. (2023 - Present),2023-12-27,"Tom Brevoort, Al Ewing, Leonard Kirk, Vc Cory Petit, Alex Sinclair",Tom Brevoort,['Al Ewing'],"GO FOR THE JUGGLER! Her name is Janet Van Dyne. She's got a file on the Death Throws - a worker's co-operative for themed super villains - that's taller than she is. His name is Victor Shade. Apparently, he's been a member for years. Together, they've got to find out who's picking the Death Throws off one by one...before it's his turn. PLUS, IN HIS VERY LAST GUEST APPEARANCE PRIOR TO HIS DEMISE, MOON KNIGHT!",,Comic,32,3.99
65,Spider-Woman (2023) #2,Spider-Woman (2023 - Present),2023-12-27,"Carola Borelli, Steve Foxe, Sunny Gho, Arif Prianto, Elizabeth Pyle, Vc Joe Sabino, Leinil Francis Yu",Elizabeth Pyle,['Steve Foxe'],"SPIDER-WOMAN GOES TO WAR… …against the GANG WAR tearing through New York. On the trail of the ruthless DIAMONDBACK and his mysterious backers, Jess commits a little corporate espionage, which may bury her in a dark corner of her past. Plus, the shadowy GREEN MAMBA prowls for a rematch Spider-Woman may not be ready for!","Madame Hydra, Nightshade, Spider-Woman (Jessica Drew)",Comic,32,3.99
66,Immortal X-Men (2022) #18 (Variant),Immortal X-Men (2022 - Present),2023-12-27,"Vc Clayton Cowles, David Curiel, Kieron Gillen, Phil Noto, Lucas Werneck, Jordan White",Jordan White,['Kieron Gillen'],FOREVER CHANGES! Being immortal means nothing when you've run out of time. There's no future. There's no past. There's no way out.,,Comic,32,3.99
67,SILVER SURFER EPIC COLLECTION: SUN RISE AND SHADOW FALL TPB (Trade Paperback),SILVER SURFER EPIC COLLECTION: SUN RISE AND SHADOW FALL TPB (2023),2023-12-27,"Ramon Bernado, John Buscema, Jon J. Muth, John Costanza, Richard Starkings, Tom Defalco, J.M. DeMatteis, Louise Simonson, Mark Pennington, Bill Sienkiewicz, Christie Scheele, Tom Smith, Jeff Youngquist",Jeff Youngquist,"['Tom Defalco', 'J.M. DeMatteis', 'Louise Simonson']","Collects Silver Surfer (1987) #1/2, 139-146; Silver Surfer/Thor Annual ’98; Galactus the Devourer (1999) #1-6; Silver Surfer: Loftier Than Mortals (1999) #1-2.  The Silver Surfer and Alicia Masters reach their journey's end! But before they go their separate ways, they must survive the manipulations of Tenebrae - and venture into the Microverse! And no trip there is complete without an emotionally charged battle against Psycho-Man! The Surfer feels the heat of Firelord's fury, and the long-imprisoned Millennius is powerful enough to cause problems for both the Sentinel of the Spaceways and the God of Thunder! Then, when Galactus' unceasing hunger drives him mad, he once again comes to destroy Earth! As Marvel's greatest heroes face the ultimate cosmic threat, the Surfer makes the greatest sacrifice of all! Plus: Doctor Doom steals the Power Cosmic in a retelling of a classic Surfer tale!",,Trade Paperback,488,44.99
68,Ghost Rider (2022) #21 (Variant),Ghost Rider (2022 - Present),2023-12-27,"Taurin Clarke, Vc Travis Lanham, Emily Newcomen, Carlos Nieto, Benjamin Percy, Bryan Valenza",Emily Newcomen,['Benjamin Percy'],"END OF THE ROAD! The Cult of Mephisto is possessing the next generation of humanity! But even if the Spirit of Vengeance stops the Cult, what does that mean for the future of Ghost Rider? Could this be the end of an era?",,Comic,32,4.99
69,Marvel Super Heroes Secret Wars: Battleworld (2023) #2 (Variant),Marvel Super Heroes Secret Wars: Battleworld (2023 - Present),2023-12-27,"Mark Basso, Vc Joe Caramagna, Tom Defalco, John Kalisz, Pat Olliffe",Mark Basso,['Tom Defalco'],"BRING ON THE BAD GUYS! SPIDER-MAN, freshly attired in his new ALIEN COSTUME, is pulled from the SECRET WARS to face a NEW challenge - the might of the HOBGOBLIN, BARON ZEMO, ELECTRO, CONSTRICTOR and more! Not a hoax! Not an imaginary story! But how did THIS set of villains find their way into the BATTLEWORLD of SECRET WARS?! Only this issue holds the answer to this forty-year mystery! Do not miss Tom DeFalco and Pat Olliffe's ALL-NEW in-continuity tale featuring SPIDER-MAN, HUMAN TORCH and a slew of surprises!",,Comic,32,3.99
70,Spider-Woman (2023) #2 (Variant),Spider-Woman (2023 - Present),2023-12-27,"Carola Borelli, Steve Foxe, Emily Newcomen, Vc Joe Sabino",Emily Newcomen,['Steve Foxe'],"SPIDER-WOMAN GOES TO WAR… …against the GANG WAR tearing through New York. On the trail of the ruthless DIAMONDBACK and his mysterious backers, Jess commits a little corporate espionage, which may bury her in a dark corner of her past. Plus, the shadowy GREEN MAMBA prowls for a rematch Spider-Woman may not be ready for!",,Comic,32,3.99
71,Deadly Hands of Kung Fu: Gang War (2023) #1 (Variant),Deadly Hands of Kung Fu: Gang War (2023 - Present),2023-12-27,"Jesus Aburtov, Vc Travis Lanham, Caio Majado, Paco Medina, Emily Newcomen, Greg Pak",Emily Newcomen,['Greg Pak'],"WHOSE SIDE ARE YOU ON? GANG WAR has thrown the crime lords and super heroes of New York into a deadly conflic,t and as both, Shang-Chi must play each side against each other in a dangerous game of deception! When he became leader of his family's Five Weapons Society, he promised to use it for good, but friends and foes alike have been unsure of his true intentions. The stakes of Gang War will force his hand as he vows to protect Chinatown and use the opportunity to eliminate the Five Weapon Society's biggest rivals! He'll use his world-class fighting skills as well as deceit, calculation and manipulation to navigate the battlefields as he learns the Art of War is all about the shades of gray!",,Comic,32,4.99
72,Star Wars: Dark Droids (2023) #5 (Variant),Star Wars: Dark Droids (2023 - Present),2023-12-27,"Vc Travis Lanham, Mark Paniccia, Luke Ross, Declan Shalvey, Alex Sinclair, Charles Soule",Mark Paniccia,['Charles Soule'],THE TERRIFYING CONCLUSION OF THE BIGGEST STAR WARS COMIC EVENT OF THE YEAR! The final triumph of THE SCOURGE! How can THE REBELLION & THE EMPIRE combat such a threat? UNLIKELY ALLIES join forces to fight the greater evil invading the galaxy! And what is the final fate of warrior droid Ajax Sigma?,,Comic,32,4.99
73,Black Panther (2023) #7,Black Panther (2023 - Present),2023-12-27,"Jesus Aburtov, Christopher Allen, Mack Chater, Craig Yeung, Taurin Clarke, Eve Ewing, Wilson Moss, Vc Joe Sabino",Wilson Moss,['Eve Ewing'],"A FACTION WAR BREWING IN BIRNIN T'CHAKA? Black Panther learns the devastation of Kivu'Ma - and must deal with the aftermath. But it leaves him, and all of Birnin T'Chaka, shaken. Beisa enlists Black Panther's help in her ongoing investigation against Wakanda's crime families…which leads to an unexpected and beloved Marvel character appearance, who may know a thing or two about living in exile! Plus, Biti as you've never seen her before!",Black Panther,Comic,32,3.99
74,Spider-Man Unlimited Infinity Comic (2023) #17,Spider-Man Unlimited Infinity Comic (2023 - Present),2023-12-26,"Vc Clayton Cowles, Jody Houser, Carlos Lopez, Elizabeth Pyle, Nathan Stockman",Elizabeth Pyle,['Jody Houser'],,"Mary Jane Watson, Peter Parker, Spider-Man (Peter Parker), Wolverine",Digital Vertical Comic,6,0.0
75,X-Men Unlimited Infinity Comic (2021) #119,X-Men Unlimited Infinity Comic (2021 - Present),2023-12-25,"Ceci De La Cruz, Steve Foxe, Steve Orlando, Vc Travis Lanham, Phillip Sevy, Jordan White",Jordan White,"['Steve Foxe', 'Steve Orlando']",,"Sunspot, Warlock (Technarchy), X-Men",Digital Vertical Comic,6,0.0
76,Alligator Loki Infinity Comic (2022) #28,Alligator Loki Infinity Comic (2022 - 2023),2023-12-22,"Michelle Marchese, Pete Pantazis, Robert Quinn, Alyssa Wong",Michelle Marchese,['Alyssa Wong'],,Loki,Digital Vertical Comic,3,0.0
77,Marvel Mutts Infinity Comic (2023) #4,Marvel Mutts Infinity Comic (2023 - Present),2023-12-22,"Raul Angulo, Mackenzie Cadenhead, Takeshi Miyazawa, Mark Paniccia, Vc Joe Sabino",Mark Paniccia,['Mackenzie Cadenhead'],,Lockjaw,Digital Vertical Comic,3,0.0
78,Avengers United Infinity Comic (2023) #11,Avengers United Infinity Comic (2023 - Present),2023-12-21,"Erick Arciniega, Tom Brevoort, Sebastian Cabrol, Derek Landy, Vc Joe Sabino",Tom Brevoort,['Derek Landy'],,"Avengers, Captain America (Sam Wilson), Scarlet Witch, Thor, Vision",Digital Vertical Comic,6,0.0
79,Spine-Tingling Spider-Man (2023) #3 (Variant),Spine-Tingling Spider-Man (2023 - Present),2023-12-20,"Saladin Ahmed, Alessandro Cappuccio, Vc Joe Caramagna, Juan Ferreyra, Nick Lowe",Nick Lowe,['Saladin Ahmed'],"Spider-Man gets stuck in the most horrifying haunted house with some of the most important people in his life.  It has to be Mysterio's doing, right? When Spidey finds Quentin Beck, that's what he thinks. But what if it's NOT?!",,Comic,32,3.99
80,Star Wars: The High Republic [Phase III] (2023) #2,Star Wars: The High Republic [Phase III] (2023 - Present),2023-12-20,"Jim Campbell, Daniel Khazem, Vc Ariana Maher, Phil Noto, Cavan Scott, James Towe",Daniel Khazem,['Cavan Scott'],"AT THE MERCY OF THE HUTTS! KEEVE TRENNIS captured! THE NIHIL allying themselves with THE HUTTS! An old foe returned! Lines are drawn as past missions come back to haunt the JEDI of STARLIGHT BEACON! And all the while, a deadly hunter stalks the battlefield. But who…or what…is THE CHILD OF THE STORM?",,Comic,32,4.99
81,Alien (2023) #2,Alien (2023 - Present),2023-12-20,"Andrea Broccardo, Declan Shalvey, Sarah Brunstad, Vc Clayton Cowles, Javier Fernandez, Ruth Redmond, Matthew Wilson",Sarah Brunstad,[],"BODIES, BODIES, BODIES! Looking for that perfect combination of sex, suspicion and slaughter? Boy, has the Weyland-Yutani Corporation got a deal for you! Come aboard the Descendant for a dip into the exotic waters of an icy moon - stay for the pulse-pounding adventure of a lifetime! Scour the ocean floor for buried treasures from a lost vessel and uncover secrets from a legendary disaster. Select participants will receive a special gift from Jun Yutani himself. Don't miss a trip worth dying for!",,Comic,32,4.99
82,Doctor Strange (2023) #10,Doctor Strange (2023 - Present),2023-12-20,"Pasqual Ferry, Jed Mackay, Heather Moore, Vc Cory Petit, Alex Ross, Darren Shan",Darren Shan,['Jed Mackay'],GENERAL STRANGE VS. THE SORCERER SUPREME! General Strange has a millennium of fierce and ruthless experience over the Sorcerer Supreme. How can Doctor Strange protect the Earth and all of magic? And what dark creature will he have to become to best General Strange?,"Clea, Doctor Strange, Wong",Comic,32,3.99
83,Astonishing Iceman (2023) #5,Astonishing Iceman (2023 - Present),2023-12-20,"Mark Basso, Vincenzo Carratu, Vc Travis Lanham, Steve Orlando, Jesus Saiz, Javier Tartaglia",Mark Basso,['Steve Orlando'],SHATTERED! ORCHIS has figured out ICEMAN's secret - and brings the fight to his frozen front door! Can BOBBY DRAKE survive this ultimate showdown?,Iceman,Comic,32,3.99
84,The Amazing Spider-Man (2022) #40 (Variant),The Amazing Spider-Man (2022 - Present),2023-12-20,"Vc Joe Caramagna, Sean “Cheeks” Galloway, Scott Hanna, Marcio Menyz, Emily Newcomen, John Romita Jr., Zeb Wells",Emily Newcomen,['Zeb Wells'],"GANG WAR CONTINUES! Battle lines are drawn, with Spidey and his crew being the only ones who can save all of New York City from the worst super criminals to ever super criminal! But is Tombstone on THEIR SIDE?! And you won't believe your eyes reading the last page of this issue!",,Comic,32,4.99
85,Spider-Boy (2023) #2 (Variant),Spider-Boy (2023 - Present),2023-12-20,"Vc Joe Caramagna, Paco Medina, Emily Newcomen, Dan Slott",Emily Newcomen,['Dan Slott'],"VERSUS TASKMASTER! Spider-Boy's history of punching up has been wiped from the memory of most of the Marvel Universe, but that doesn't mean he can't hold his own! Plus, SPIDER-MAN gets a lesson in sidekicks from none other than CAPTAIN AMERICA! Plus: ""Yes, Spider-Boy, there IS a Santa Claus!"" The Arachnid-Kid and Kris Kringle are getting ready to kick some humbug butt!",,Comic,32,4.99
86,Uncanny Avengers (2023) #5,Uncanny Avengers (2023 - Present),2023-12-20,"Tom Brevoort, Gerry Duggan, Javier Garron, Morry Hollowell, Vc Travis Lanham",Tom Brevoort,['Gerry Duggan'],CAPTAIN KRAKOA - UNMASKED!,"Black Widow, Captain America, Deadpool, M (Monet St. Croix), Psylocke, Quicksilver, Rogue",Comic,32,3.99
87,Wolverine (2020) #40 (Variant),Wolverine (2020 - Present),2023-12-20,"Mark Basso, Frank D'ARMATA, Benjamin Percy, Vc Cory Petit, Juan Jose Ryp",Mark Basso,['Benjamin Percy'],STARK SENTINELS GET SPIDER-SENSES TINGLING! LAST MUTANT STANDING - FINALE! LOGAN's journey across the ORCHIS-controlled globe brings him to New York City - and a reunion with that great non-mutant super hero: SPIDER-MAN! But will the ol' PARKER LUCK help WOLVERINE against the wrath of the STARK SENTINELS or put the fall in FALL OF X?!,,Comic,32,4.99
88,Superior Spider-Man (2023) #2 (Variant),Superior Spider-Man (2023 - Present),2023-12-20,"Mark Bagley, Vc Joe Caramagna, Clayton Crain, John Dell, Emily Newcomen, Dan Slott",Emily Newcomen,['Dan Slott'],"No time travel. No clones. Just Superior Spider-ing! The sins of Otto Octavius' past are exacting a heavy toll on the present. And one of Peter Parker's closest friends must pay the price for them. If the secrets revealed in our last issue didn't fill you with dread, wait till you see how this one ends.",,Comic,32,4.99
89,Uncanny Avengers (2023) #5 (Variant),Uncanny Avengers (2023 - Present),2023-12-20,"Tom Brevoort, Gerry Duggan, Javier Garron, Morry Hollowell, Vc Travis Lanham",Tom Brevoort,['Gerry Duggan'],CAPTAIN KRAKOA - UNMASKED!,,Comic,32,3.99
90,Daredevil: Black Armor (2023) #2 (Variant),Daredevil: Black Armor (2023 - Present),2023-12-20,"Jesus Aburtov, D.G. Chichester, Martin Coccolo, Vc Clayton Cowles, Netho Diaz, Jp Mayer, Emily Newcomen",Emily Newcomen,['D.G. Chichester'],"BACK IN BLACK!  MATT MURDOCK will need to push his extraordinary senses and his armored suit beyond their limits if he hopes to even stand a chance against what's coming. HOBGOBLIN, KINGPIN and even the AMAZING SPIDER-MAN come to call! Plus, a mysterious foe whose powers trump them all!  D.G. Chichester returns to Hell's Kitchen to spin an all-new DAREDEVIL story set during his landmark run with the character! Joined now by rising star NETHO DIAZ and with covers by industry legend MARK BAGLEY!",,Comic,32,3.99
91,Uncanny Spider-Man (2023) #5 (Variant),Uncanny Spider-Man (2023 - Present),2023-12-20,"Sarah Brunstad, Vc Joe Caramagna, Lee Garbett, Matt Milla, Si Spurrier",Sarah Brunstad,['Si Spurrier'],"IN THE CLAWS OF THE VULTURE! Mystique is missing, mutantkind is scattered and hunted and Nightcrawler must finally face the demons he's been keeping in the shadows. But it looks like Orchis will be helping him bare his soul…as they rend the flesh from his bones! Does Kurt Wagner's extraordinary journey end here?",,Comic,32,3.99
92,G.O.D.S. (2023) #3,G.O.D.S. (2023 - Present),2023-12-20,"Tom Brevoort, Marte Gracia, Jonathan Hickman, Vc Travis Lanham, Mateus Manhanini, Valerio Schiti",Tom Brevoort,['Jonathan Hickman'],"Cassandra is cursed with knowing the future, but no one believes her. There are Black Swans in the bar. Oblivion wants to drink alone, but kids these days don't respect authority figures. Most of the ingredients are illegal outside of Hell's Kitchen.",Doctor Strange,Comic,32,4.99
93,The Amazing Spider-Man (2022) #40,The Amazing Spider-Man (2022 - Present),2023-12-20,"Vc Joe Caramagna, Scott Hanna, Nick Lowe, Marcio Menyz, John Romita Jr., Zeb Wells",Nick Lowe,['Zeb Wells'],"GANG WAR CONTINUES! Battle lines are drawn, with Spidey and his crew being the only ones who can save all of New York City from the worst super criminals to ever super criminal! But is Tombstone on THEIR SIDE?! And you won't believe your eyes reading the last page of this issue!","Hammerhead, Kingpin, Luke Cage, Madame Masque, Owl, She-Hulk (Jennifer Walters), Spider-Man (Peter Parker), Tombstone, Typhoid Mary",Comic,32,4.99
94,G.O.D.S. (2023) #3 (Variant),G.O.D.S. (2023 - Present),2023-12-20,"Marte Gracia, Jonathan Hickman, Vc Travis Lanham, Ron Lim, Emily Newcomen, Valerio Schiti",Emily Newcomen,['Jonathan Hickman'],"Cassandra is cursed with knowing the future, but no one believes her. There are Black Swans in the bar. Oblivion wants to drink alone, but kids these days don't respect authority figures. Most of the ingredients are illegal outside of Hell's Kitchen.",,Comic,32,4.99
95,The Amazing Spider-Man (2022) #40 (Variant),The Amazing Spider-Man (2022 - Present),2023-12-20,"Vc Joe Caramagna, Scott Hanna, Marcio Menyz, Emily Newcomen, John Romita Jr., Zeb Wells",Emily Newcomen,['Zeb Wells'],"GANG WAR CONTINUES! Battle lines are drawn, with Spidey and his crew being the only ones who can save all of New York City from the worst super criminals to ever super criminal! But is Tombstone on THEIR SIDE?! And you won't believe your eyes reading the last page of this issue!",,Comic,32,4.99
96,Capwolf & the Howling Commandos (2023) #3,Capwolf & the Howling Commandos (2023 - Present),2023-12-20,"Ryan Brown, Espen Grundetjern, Vc Travis Lanham, Carlos Magno, Stephanie Phillips, Alanna Smith",Alanna Smith,['Stephanie Phillips'],"With Capwolf at the helm, the Howling Commandos are ready to take down their foes at Wolfsschanze. But the Nazis have a secret weapon up their sleeves - and if she can't win Steve's allegience, she'll happily settle for his head!",Captain America,Comic,32,3.99
97,Spider-Boy (2023) #2 (Variant),Spider-Boy (2023 - Present),2023-12-20,"Erick Arciniega, David Baldeon, Vc Joe Caramagna, Paco Medina, Emily Newcomen, Dan Slott",Emily Newcomen,['Dan Slott'],"VERSUS TASKMASTER! Spider-Boy's history of punching up has been wiped from the memory of most of the Marvel Universe, but that doesn't mean he can't hold his own! Plus, SPIDER-MAN gets a lesson in sidekicks from none other than CAPTAIN AMERICA! Plus: ""Yes, Spider-Boy, there IS a Santa Claus!"" The Arachnid-Kid and Kris Kringle are getting ready to kick some humbug butt!",,Comic,32,4.99
98,Star Wars: Doctor Aphra (2020) #39,Star Wars: Doctor Aphra (2020 - Present),2023-12-20,"Vc Joe Caramagna, Betsy Cola, Minkyu Jung, Mark Paniccia, Rachelle Rosenberg, Alyssa Wong",Mark Paniccia,['Alyssa Wong'],"ABOVE ALL! - A DARK DROIDS TIE-IN! The SCOURGE sets its sights on TAGGE CORPORATION...and DOMINA TAGGE! As the ACQUISITOR falls from the sky, DOCTOR APHRA fights for survival... ...against an entity that threatens to consume everything she loves! (Including herself!)",,Comic,32,4.99
99,Marvel's Voices Infinity Comic (2022) #82,Marvel's Voices Infinity Comic (2022 - 2023),2023-12-20,"Sarah Brunstad, Vc Travis Lanham, Jason Loo, Fer Sifuentes-Sujo, Rickie Yagawa",Sarah Brunstad,['Jason Loo'],,"Loki, Shang-Chi",Digital Vertical Comic,6,0.0
